Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Hull shape optimization for autonomous underwater vehicles using CFD","The multi-island genetic algorithm (MIGA) provides a better hull shape for autonomous underwater vehicles compared to particle swarm optimization, improving energy utilization and endurance.","Ting Gao, Ya-xing Wang, Yongjie Pang, Jian Cao",2016,123,"ABSTRACT Drag estimation and shape optimization of autonomous underwater vehicle (AUV) hulls are critical to energy utilization and endurance improvement. In the present work, a shape optimization platform composed of several commercial software packages is presented. Computational accuracy, efficiency and robustness were carefully considered and balanced. Comparisons between experiments and computational fluid dynamics (CFD) were conducted to prove that a two-dimensional (2D) unstructured mesh, a standard wall function and adaptive mesh refinement could greatly improve efficiency as well as guarantee accuracy. Details of the optimization platform were then introduced. A comparison of optimizers indicates that the multi-island genetic algorithm (MIGA) obtains a better hull shape than particle swarm optimization (PSO), despite being a little more time consuming. The optimized hull shape under general volume requirement could provide reference for AUV hull design. Specific requirements based on optimization testify of the platform’s robustness.","theoretical, modeling, or simulation study","Engineering Applications of Computational Fluid Mechanics","1","10.1080/19942060.2016.1224735","https://consensus.app/papers/hull-shape-optimization-for-autonomous-underwater-gao-wang/c35803031ee055d79bdd53c298f394f7/"
"Drag reduction using bionic groove surface for underwater vehicles","The bionic groove surface, modeled after killer whale skin's ridge structure, effectively reduces drag and improves energy efficiency for ships in the shipping industry.","Shihao Zheng, Xi Liang, Jiayong Li, Yanyan Liu, Jun Tang",2023,17,"Introduction: The reduction of drag is a crucial concern within the shipping industry as it directly influences energy consumption. This study addresses this issue by proposing a novel approach inspired by the unique ridge structure found on killer whale skin. The objective is to develop a non-smooth surface drag reduction method that can effectively decrease drag and improve energy efficiency for ships. Methods: The study introduces a technique involving the creation of transverse bionic groove surfaces modeled after the killer whale skin's ridge structure. These grooves are aligned perpendicular to the flow direction and are intended to modify the behavior of turbulent boundary layer flows that form around the ship's hull. Numerical simulations are employed using the Shear Stress Transport k-ω model to analyze the effects of the proposed groove surface across a wide range of flow conditions. The research investigates the impact of various parameters, such as the width-to-depth ratio (λ/A), groove depth, and inlet velocity, on the drag reduction performance of the bionic groove surface. Results: The study reveals several key findings. Optimal shape parameters for the bionic groove surface are determined, enabling the most effective drag reduction. The numerical simulations demonstrate that the proposed groove surface yields notable drag reduction benefits within the velocity range of 2∼12 m/s. Specifically, the friction drag reduction ratio is measured at 26.91%, and the total drag reduction ratio at 9.63%. These reductions signify a substantial decrease in the forces opposing the ship's movement through water, leading to enhanced energy efficiency. Discussion: Comparative analysis is conducted between the performance of the bionic groove surface and that of a smooth surface. This investigation involves the examination of velocity gradient, streamwise mean velocity, and turbulent intensity. The results indicate that the bionic groove structure effectively mitigates viscous stress and Reynolds stress, which in turn reduces friction drag. This reduction in drag is attributed to the alteration in flow behavior induced by the non-smooth surface. Conclusion: The study proposes a novel approach for drag reduction in the shipping industry by emulating the ridge structure of killer whale skin. The transverse bionic groove surface, aligned perpendicular to flow direction, demonstrates promising drag reduction outcomes across diverse flow conditions. Through systematic numerical simulations and analysis of key parameters, the research provides insights into the drag reduction mechanism and identifies optimal design parameters for the groove surface. The potential for significant energy savings and improved fuel efficiency in maritime transportation underscores the practical significance of this research.

Copyright © 2023 Zheng, Liang, Li, Liu and Tang.","theoretical, modeling, or simulation study","Frontiers in Bioengineering and Biotechnology","1","10.3389/fbioe.2023.1223691","https://consensus.app/papers/drag-reduction-using-bionic-groove-surface-for-underwater-zheng-liang/f3d8e17446365ed0aa9c4b4a7846e2a1/"
"Effective Underwater Drag Reduction: A Butterfly Wing Scale-Inspired Superhydrophobic Surface.","The Butterfly Wing Scale-Like Surface (BWSLS) effectively reduces underwater drag by combining a thicker gas film and a more pronounced secondary vortex, outperforming single-scale textured surfaces in moderate Reynolds numbers.","Yang Chen, Yue Hu, Lu-wen Zhang",2024,42,"The microstructured superhydrophobic surface serves as an alternative strategy to decrease resistance of underwater vehicles, but the sustainment of an entrapped air layer and the stability of the corresponding gas-liquid interface within textures in flow shear or high pressure are still a great challenge. Inspired by the scales of Parantica melaneus wings, we propose a biomimetic surface with a hierarchical structure featuring longitudinal ridges and regular cavities that firmly pin the gas-liquid interface. The drag reduction rate of the Butterfly Wing Scale-Like Surface (BWSLS) demonstrates a noticeable rise over the single-scale textured mainstream biomimetic surfaces at moderate Reynolds numbers. The superior drag reduction mechanism is revealed as the synergistic effect of a thicker gas film and a more pronounced secondary vortex within the hierarchical textures. The former reduces the velocity gradient near the surface, while the latter decreases the vorticity and energy dissipation. In a high hydrostatic pressure environment, the proposed surface also demonstrates significant stability of the gas-liquid interface, with a gas coverage rate of over 67% during the cyclic loading, surpassing single-structured surfaces. Our study suggests promising surface designs for optimal drag reduction by mimicking and leveraging diverse surfaces of organisms adapted to oceanic climates.","bench experiment","ACS applied materials & interfaces","1","10.1021/acsami.4c04272","https://consensus.app/papers/effective-underwater-drag-reduction-a-butterfly-wing-chen-hu/0435ee2f2b575e3ab06d394139f912fc/"
"Study on the drag reduction characteristics of non-equal height bionic surfaces of underwater vehicles","The non-equal height trapezoidal bionic surface structure for underwater vehicles effectively reduces drag by up to 6.7%, enhancing range and reducing energy consumption.","Jinming Kou, Yunqing Gu, Yun Ren, Chaoxiang Hu, Denghao Wu, Zhenxing Wu, J. Mou",2025,1,"To enhance the range and reduce the energy consumption of marine equipment, inspired by the non-equal height ridge structures of the beluga whale and pilot whale body surfaces, we reconstructed analogous skin ridge features and designed a bionic non-smooth surface model for the Defense Advanced Research Projects Agency SUBOFF underwater vehicle. Four types of bionic surface structures, namely, V-shaped, circular arc, trapezoidal, and non-equal height trapezoidal, were evaluated using numerical simulations. The simulations employed the shear stress transport k–ω turbulence model to assess drag reduction performance under different flow conditions. The underlying drag reduction mechanisms were investigated based on velocity field, shear stress distribution, pressure field, and vortex structure analyses. The results indicate that the non-equal height trapezoidal structure exhibits the most effective drag reduction, achieving a local drag reduction rate of up to 6.7%. In addition, this structure shows reduced fluctuations in the friction coefficient and the smallest increase in pressure drag. Moreover, it also presents a lower shear stress gradient and a thicker boundary layer at the bottom, which contributes to decreased surface velocity and viscous drag.","theoretical, modeling, or simulation study","Physics of Fluids","1","10.1063/5.0287250","https://consensus.app/papers/study-on-the-drag-reduction-characteristics-of-nonequal-kou-gu/cddb67dbe3c8562aaec79388b084e74a/"
"Experimental study on the drag reduction of underwater vehicles by drag-reducing agents injection","Injecting drag-reducing agents into underwater vehicles' turbulent boundary layer can significantly improve their performance, but further improvements are needed for high-re Reynolds numbers.","Xinfeng Zhai, Hongna Zhang, Suming Wang, Haotian Cheng, Kaiting Wang, Yan Wang, Xiaobin Li, Wenhua Zhang, Fengchen Li",2024,9,"","bench experiment","Applied Ocean Research","1","10.1016/j.apor.2024.104303","https://consensus.app/papers/experimental-study-on-the-drag-reduction-of-underwater-zhai-zhang/7147088b7fd1535faf5f7709258a2e14/"
"Effect of radial ventilation on drag reduction characteristics of underwater axisymmetric vehicle","Radial ventilation reduces frictional drag in underwater vehicles by 45.5% when both speed and ventilation rate are increased, mainly through optimized gas layer distribution and shear stress modulation.","Sheng Sun, Guowei Dong, Tiechao Bai, Shizhao Wang, Pengyao Yu",2025,1,"With the growing demand for underwater vehicles in complex aquatic environments, drag reduction technology plays an increasingly critical role in enhancing vehicle performance and energy efficiency. This paper employs numerical simulations to investigate the drag characteristics and drag reduction effects of an underwater vehicle under radial jetting conditions, analyzing the flow field variations and drag mechanisms at different speeds and ventilation rates. The study reveals that, under low-speed conditions, radial ventilation leads to an increase in drag; however, under moderate- to high-speed conditions, the friction reduction becomes apparent as ventilation intensity rises, with a maximum drag reduction rate of 45.5%. Analysis of the drag components shows that an increase in speed contributes to a reduction in pressure drag, while frictional drag is effectively reduced with the increase in both speed and ventilation rate. Flow field analysis indicates that the gas layer formed by radial jetting significantly reduces frictional drag by decreasing surface shear stress. Furthermore, the expansion of the gas layer, along with the gas–liquid mixture effect, reduces the high-shear stress regions, thereby enhancing the friction reduction. In conclusion, the drag reduction effect of radial jetting is mainly achieved through the optimization of the gas layer distribution, shear stress modulation, and regulation of gas pocket behavior, with a clear dependence on both speed and ventilation rate.","","Physics of Fluids","1","10.1063/5.0281306","https://consensus.app/papers/effect-of-radial-ventilation-on-drag-reduction-sun-dong/95a10ffdfe355425b41bce66a2ef7f35/"
"Synergistic drag-reducing mechanism of microgrooves and viscoelastic fluids for underwater vehicles","Microgrooves and viscoelastic drag-reducing agents together effectively reduce turbulence drag for underwater vehicles, improving their energy utilization and potential applications.","Xinfeng Zhai, Liqi Guo, Xiaobin Li, Hongna Zhang, Fengchen Li",2025,0,"Enhancing the energy utilization of underwater vehicles using efficient drag-reducing techniques will improve their applications. Inspired by bionics, this paper combines microgrooves and viscoelastic drag-reducing agents (DRA) to realize turbulence drag reduction for underwater vehicles. The drag-reducing effect and mechanism of the surface structures and viscoelastic drag-reducing agents are analyzed using the large-eddy simulation method. The synergistic mechanism of the coupled drag-reducing strategy is also discussed in depth, focusing on the evolution of vortex structure, velocity profile, and diffusion of the viscoelastic drag-reducing agents. The results demonstrate that the microgrooves have a more pronounced drag-reducing effect at high voyage speeds, with a maximum friction drag reduction rate (DR) of over 15% at a voyage speed of 5.0 m/s. Moreover, the viscoelastic drag-reducing agent exhibits a maximum friction drag reduction (DR) of 50.30% at W = 0.8 m/s and only 10.94% at W = 3.0 m/s. Furthermore, the coupled drag-reducing method significantly enhances the above performance, achieving drag reductions of 52.80% at W = 0.8 m/s and 21.54% at W = 3.0 m/s. The microgrooves can enhance the drag-reducing effects by optimizing the flow field structure and improving the diffusion effect of the viscoelastic drag-reducing agents near the wall. The two drag-reducing methods are complementary regarding the drag-reducing mechanism and potential application value.","theoretical, modeling, or simulation study","Physics of Fluids","1","10.1063/5.0272668","https://consensus.app/papers/synergistic-dragreducing-mechanism-of-microgrooves-and-zhai-guo/c6bee8a1b9c05107ac18055243ffbf26/"
"Active Drag Reduction for the Wall of Microunderwater Vehicles by Piezoelectric Actuated Drag Reducer","The proposed piezoelectric actuator-driven active drag reducer effectively reduces frictional and total drag in microunderwater vehicles, achieving positive energy savings and improved driving performance.","Lu Zhang, Kai Li, X. Shan, Yao Zhai, ShengAng Yan, Tao Xie",2022,11,"The driving performance and endurance mileage of microunderwater vehicle can be improved by reducing the wall friction drag. The existing underwater drag reducers can achieve good drag reduction performance, but they are not suitable for microunderwater vehicle due to the large structure size and the high energy consumption. An active drag reducer, which is driven by piezoelectric actuator and can be embedded into the outer wall of microunderwater vehicle hardly changing the streamline structure and structural strength of the wall, is proposed. The active drag reduction on demand and effective energy saving can be realized by combining with the motion monitoring system of the underwater vehicle. The drag reduction mechanism of the proposed drag reducer driven by piezoelectric actuator is discussed. The influences of single parameter and comprehensive effect of parameters on the characteristics of the near-wall turbulent boundary layer are obtained, and the control methods of drag reduction performance for meeting different requirements are proposed. The simulation and experimental results show that the proposed microdrag reducer can effectively reduce the frictional and total drag, and can achieve positive energy saving. The drag reduction rate of 37.82% can be achieved with the excitation amplitude of 150 V and the operating frequency of 1500 Hz. This article can provide an important reference for the research of active drag reduction of microunderwater vehicle.","bench experiment","IEEE/ASME Transactions on Mechatronics","1","10.1109/tmech.2022.3192730","https://consensus.app/papers/active-drag-reduction-for-the-wall-of-microunderwater-zhang-li/ed46619dc3195695af45f38056ce14d3/"
"Artificial Intelligence Aided Design (AIAD) of Hull Form of Unmanned Underwater Vehicles (UUVs) for Minimization of Energy Consumption","AI-aided design (AIAD) effectively reduces energy consumption in unmanned underwater vehicles (UUVs) by optimizing hull shapes, maintaining efficiency and reliability while overcoming high design workload.","Yu Ao, Jian Xu, Dapeng Zhang, Shaofan Li",2023,8,"
 Designing an excellent hull to reduce the path energy consumption of UUV sailing is crucial to improving UUV energy endurance. However, due to the relative velocity and attack angle between the UUV and the ocean current will frequently change during the entire path, realizing a path energy consumption-based UUV hull design will result in a tremendous amount of calculation. In this work, based on the idea of articial intelligence-aided design (AIAD), we have successfully developed a data-driven design methodology for UUV hull design. Specically, we first developed and implemented deep learning (DL) algorithm for predicting the resis- tance of the UUV with different hull shapes under different velocities and attack angles. By mixing the proposed DL algorithm and introducing the particle swarm optimization (PSO) algorithm into the UUV hull design, we proposed a data-driven AIAD methodology. A path energy consumption-based experiment has been conducted based on the proposed method- ology, where the design results showed that the proposed design methodology maintains eciency and reliability while overcoming the high design workload.","theoretical, modeling, or simulation study","J. Comput. Inf. Sci. Eng.","1","10.1115/1.4062661","https://consensus.app/papers/artificial-intelligence-aided-design-aiad-of-hull-form-of-ao-xu/a5736ab3064051daa55d440f5d00bdc4/"
"Lines design of underwater vehicle based on the optimization of hydrodynamic performance and energy consumption","The proposed hybrid algorithm (MIGA-SQP) reduces drag, lateral force, yaw moment, and energy consumption in underwater vehicles by 2.15 % using optimal Latin hypercube and radial basis function (RBF) surrogate models.","Kewei Li, Weifeng Pan, Weilin Luo",2025,0,"Collaborative optimization with relaxation factor is proposed for the lines design of an underwater vehicle. The hydrodynamic performances and energy consumption are considered in optimization framework. Hydrodynamic performances include the resistance, sway force and yaw moment. The efficient power of the propeller is selected to reflect the energy consumption. Analytic hierarchy process (AHP) combined with Delphi method is used to allocate the weights of disciplines in the objective function at the top level. A gradient-based algorithm, sequential quadratic programming (SQP) in combination with an intelligent-based algorithm, the multi-island genetic algorithm (MIGA) is taken into account as the optimization algorithm. To increase the efficiency of optimization, an approximate model based on optimal Latin hypercube and radial basis function (RBF) is introduced to replace the time-consuming discipline analysis model. Full-appendage SUBOFF model is used to test the proposed optimization scheme. The optimization results show that the drag of the underwater vehicle is reduced by 2.05 %, the lateral force by 6.38 %, the yaw moment by 5.90 %, and the energy consumption by 2.15 %. Compared with a single algorithm (e.g., PSO), the proposed hybrid algorithm (MIGA-SQP) reduces the value of the comprehensive objective function by 2.5-4.8 %.The innovations of this paper are as follows: 1. The Delphi-AHP method is combined with the cooperative optimization of relaxation factors to improve the objectivity of weights; 2. An OLH-RBF surrogate model is constructed, which increases the CFD calculation efficiency by 4 times.","theoretical, modeling, or simulation study","Brodogradnja","1","10.21278/brod77308","https://consensus.app/papers/lines-design-of-underwater-vehicle-based-on-the-li-pan/e98a82f4de355b038e54408890c727c5/"
